genre,year,worlwide_gross_income
Action,2010,7004213763
Action,2011,9487076977
Action,2012,7615294231
Action,2013,9988649616
Action,2014,12794696652
Action,2015,12622370026
Action,2016,10953649542
Action,2017,11701919823
Action,2018,12432868490
Action,2019,11104678658
Action,2020,1110023055
Adventure,2010,2484901735
Adventure,2011,1094865286
Adventure,2012,2070529852
Adventure,2013,954370848
Adventure,2014,1084308358
Adventure,2015,538165834
Adventure,2016,882896530
Adventure,2017,543278829
Adventure,2018,780129761
Adventure,2019,1182169556
Adventure,2020,247122830
Animation,2010,4173726800
Animation,2011,4065786401
Animation,2012,3913147128
Animation,2013,5126618537
Animation,2014,3252962929
Animation,2015,4066198144
Animation,2016,4733159986
Animation,2017,4170037747
Animation,2018,2954449294
Animation,2019,5308553154
Animation,2020,174324095
Biography,2010,713205615
Biography,2011,253766541
Biography,2012,585159434
Biography,2013,1137443678
Biography,2014,590997562
Biography,2015,716951979
Biography,2016,808801489
Biography,2017,688767239
Biography,2018,858881449
Biography,2019,224132989
Biography,2020,13837038
Comedy,2010,3232352599
Comedy,2011,3877088362
Comedy,2012,3357229364
Comedy,2013,3008420189
Comedy,2014,2302325445
Comedy,2015,2251152720
Comedy,2016,2217932495
Comedy,2017,1224505299
Comedy,2018,1683018600
Comedy,2019,1746362230
Comedy,2020,22528764
Crime,2010,372032177
Crime,2011,414294953
Crime,2012,296847501
Crime,2013,934511582
Crime,2014,196580192
Crime,2015,285147404
Crime,2016,476795984
Crime,2017,99888010
Crime,2018,535123396
Crime,2019,1192451973
Crime,2020,642378
Drama,2010,1683317577
Drama,2011,868039537
Drama,2012,1577952257
Drama,2013,633673505
Drama,2014,1376677929
Drama,2015,1644420034
Drama,2016,1325310031
Drama,2017,1649833758
Drama,2018,1659251850
Drama,2019,1214386198
Drama,2020,60874155
Family,2010,0
Family,2011,3184
Family,2012,0
Family,2013,0
Family,2014,178360
Family,2015,102918
Family,2016,4539
Family,2017,1264224904
Family,2018,89988
Family,2019,52191
Family,2020,0
Fantasy,2010,38587804
Fantasy,2011,95746935
Fantasy,2012,34153101
Fantasy,2013,104225223
Fantasy,2014,885379
Fantasy,2015,35275
Fantasy,2016,152502
Fantasy,2017,25010
Fantasy,2018,1665289
Fantasy,2019,487986
Fantasy,2020,0
History,2014,0
History,2015,0
History,2019,0
Horror,2010,427780537
Horror,2011,635293892
Horror,2012,477051547
Horror,2013,700487629
Horror,2014,710553759
Horror,2015,483163071
Horror,2016,433159423
Horror,2017,979893219
Horror,2018,793585299
Horror,2019,882627039
Horror,2020,53576737
Music,2010,0
Music,2012,0
Music,2013,7975812
Music,2017,0
Music,2018,1090
Music,2019,2582847
Musical,2010,552212
Musical,2011,0
Musical,2012,0
Musical,2014,0
Musical,2015,0
Musical,2016,1646058
Musical,2017,2972039
Mystery,2010,294804195
Mystery,2011,0
Mystery,2012,5274
Mystery,2013,0
Mystery,2014,0
Mystery,2015,3314
Mystery,2016,0
Mystery,2017,0
Mystery,2018,12978
Mystery,2019,0
Romance,2010,161619
Romance,2011,127869379
Romance,2012,61465
Romance,2013,0
Romance,2014,0
Romance,2015,22167
Romance,2016,0
Romance,2017,10298
Romance,2018,106875
Romance,2019,435938
Romance,2020,0
Sci-Fi,2010,7862
Sci-Fi,2011,162039450
Sci-Fi,2012,1708
Sci-Fi,2013,0
Sci-Fi,2014,0
Sci-Fi,2015,0
Sci-Fi,2016,5078
Sci-Fi,2017,0
Sci-Fi,2018,0
Sci-Fi,2019,10451
Sci-Fi,2020,0
Sport,2013,152200
Sport,2017,0
Sport,2018,0
Sport,2019,1056416
Sport,2020,0
Thriller,2010,15514
Thriller,2011,268933
Thriller,2012,118819
Thriller,2013,742348
Thriller,2014,1103928
Thriller,2015,24248
Thriller,2016,4288294
Thriller,2017,3661100
Thriller,2018,152721
Thriller,2019,44234
Thriller,2020,0
War,2015,0
Western,2010,0
Western,2011,0
Western,2012,0
Western,2013,0
Western,2014,0
Western,2015,0
Western,2017,0
Western,2018,0
Western,2019,0
Western,2020,0
