imdb_title_id,original_title,year,genre,country,production_company,duration,votes,budget,usa_gross_income,worldwide_gross_income,rating,metascore
tt0068646,Godfather,1972,Drama,USA,Pictures,175,1572674,6000000,134966411,246120974,9.2,100
tt0047396,Window,1954,Thriller,USA,Productions,112,432390,1000000,36764313,37032034,8.4,100
tt0052357,Vertigo,1958,Thriller,USA,Productions,128,352786,2479000,7705225,7796389,8.3,100
tt0032138,Oz,1939,Fantasy,USA,(MGM),102,366293,2777000,24790250,26142032,8,100
tt1065073,Boyhood,2014,Drama,USA,Productions,165,330806,4000000,25352281,48137666,7.9,100
tt0032910,Pinocchio,1940,Family,USA,Studios,88,127618,2600000,84254167,121892045,7.4,99
tt4975722,Moonlight,2016,Drama,USA,A24,111,263568,4000000,27854932,65336603,7.4,99
tt0054215,Psycho,1960,Thriller,USA,Productions,109,586765,806947,32000000,32008644,8.5,97
tt0057012,Bomb,1964,Comedy,USA,Pictures,95,441115,1800000,9440272,9443876,8.4,97
tt0069704,Graffiti,1973,Drama,USA,Pictures,110,80176,777000,115000000,115000000,7.4,97
tt0382932,Ratatouille,2007,Comedy,USA,Pictures,111,624762,150000000,206445654,623726085,8,96
tt4034228,Sea,2016,Drama,USA,Studios,137,238464,9000000,47695371,78988148,7.8,96
tt0032455,Fantasia,1940,Fantasy,USA,Productions,125,86795,2280000,76408097,76411401,7.8,96
tt0073440,Nashville,1975,Music,USA,Entertainment,160,23154,2200000,9984123,9984123,7.7,96
tt0910970,WALL·E,2008,Family,USA,Studios,98,974734,180000000,223808164,521311860,8.4,95
tt0114709,Story,1995,Comedy,USA,Studios,81,864461,30000000,222498679,404265438,8.3,95
tt0101414,Beast,1991,Fantasy,USA,Pictures,84,410499,25000000,218967620,440118382,8,95
tt0058385,Lady,1964,Musical,USA,Bros.,170,84812,17000000,72560711,72661442,7.8,95
tt1285016,Network,2010,Drama,USA,Pictures,120,608745,40000000,96962694,224920315,7.7,95
tt0029583,Dwarfs,1937,Fantasy,USA,Productions,83,177157,1499000,184925486,184925486,7.6,95
tt0887912,Locker,2008,War,USA,Pictures,131,414225,15000000,17017811,49230772,7.6,95
tt0167260,King,2003,Drama,USA,Cinema,201,1604280,94000000,377845905,1142271098,8.9,94
tt0108052,List,1993,History,USA,Pictures,195,1183248,22000000,96898818,322287794,8.9,94
tt0110912,Fiction,1994,Drama,USA,Miramax,154,1780147,8000000,107928762,222831817,8.9,94
tt0078788,Now,1979,War,USA,Zoetrope,147,591251,31500000,83471511,91968688,8.4,94
tt0075314,Driver,1976,Drama,USA,Pictures,114,703264,1300000,28262574,28441292,8.3,94
tt2096673,Out,2015,Comedy,USA,Studios,95,592575,175000000,356921711,858071350,8.1,94
tt5013056,Dunkirk,2017,History,USA,Syncopy,106,531422,100000000,189740665,526949403,7.9,94
tt0067116,Connection,1971,Drama,USA,Productions,104,107402,1800000,51700000,51700000,7.7,94
tt4925292,Bird,2017,Drama,USA,Films,94,228832,10000000,48958273,79097104,7.4,94
tt2473794,Turner,2014,History,USA,Films,150,23959,8200000,3958500,22179785,6.8,94
tt0469494,Blood,2007,Drama,USA,Vantage,158,502968,25000000,40222514,76181545,8.2,93
tt1895587,Spotlight,2015,Drama,USA,Participant,129,406847,20000000,45055776,98690254,8.1,93
tt0067328,Show,1971,Romance,USA,Pictures,118,41253,1300000,29133000,29146131,8,93
tt0036868,Lives,1946,War,USA,Company,170,56280,2100000,23650000,23656620,8,93
tt0097216,Thing,1989,Drama,USA,Filmworks,120,86180,6500000,27545445,37346892,7.9,93
tt0120737,Ring,2001,Drama,USA,Cinema,178,1619920,93000000,315544750,887934303,8.8,92
tt0435761,3,2010,Comedy,USA,Pictures,103,739717,200000000,415004880,1066969703,8.3,92
tt0071315,Chinatown,1974,Thriller,USA,Pictures,130,286798,6000000,29200000,29225935,8.2,92
tt0075686,Hall,1977,Romance,USA,Productions,93,248254,4000000,38251425,38287178,8,92
tt5649144,Project,2017,Drama,USA,Film,111,90024,2000000,5904366,10971298,7.6,92
tt0110932,Show,1994,History,USA,Pictures,133,63643,31000000,24822619,24822619,7.5,92
tt0120815,Ryan,1998,War,USA,DreamWorks,169,1203825,70000000,217049603,482349603,8.6,91
tt0066206,Patton,1970,War,USA,Fox,172,92387,12000000,61749765,61749765,7.9,91
tt0083866,Extra-Terrestrial,1982,Sci-Fi,USA,Pictures,115,362758,10500000,435110554,793482178,7.8,91
tt3281548,Women,2019,Romance,USA,Pictures,135,122387,40000000,108101214,216601214,7.8,91
tt0086197,Stuff,1983,Drama,USA,Company,193,54959,27000000,21192102,21192102,7.8,91
tt0286244,Belleville,2003,Drama,USA,Armateurs,80,49948,9500000,7007149,14776760,7.8,91
tt0078902,Away,1979,Romance,USA,Fox,101,21299,2300000,16424918,16424918,7.7,91
tt5083738,Favourite,2018,Drama,USA,Pictures,119,163857,15000000,34366783,95918706,7.5,91
