production_company,original_title
#Sinning Works,2
1 Bullet in the Gun Productions,1
1 Media Productions,1
10 West Studios,4
"10,001",1
100 Acres of Hell Productions,1
1022m,1
1031 Films,1
1066 Pictures,1
108 Productions,1
10th Hole Productions,1
10th Street Entertainment,1
12 AM Pictures,1
12 Dogs II,1
12 Helpful Hands Productions,3
13th Night Productions,1
1428 Films,1
1492 Pictures,2
1555 Filmworks,2
17 Road,1
180 Degrees,1
1821 Pictures,3
1887 Pictures,1
1895 Films,1
19 Artist Development,1
1922 Films,1
1926 Pictures,1
1984 Private Defense Contractors,2
1991 Broadway Theatre Group,1
19th & Wilson,1
1BR Movie,1
1T Entertainment,1
1inMM Productions,3
2 Focus,1
2 Man Production,1
2 Red Rabbit Films,1
2 Wonder Full To Be,2
2+2 Films,1
2.0 Entertainment,1
2.1 Films,1
20/20 Visions Entertainment Group,2
2020 Entertainment,2
20th Century Fox Film Corporation,2
21 Laps Entertainment,2
215APhillyated,1
21st Century 3D,1
21st Street Films,1
221 Films,1
248 Productions,1
249 Productions,1
26 Films,1
26 Keys Productions,1
26th Ave Films,1
28 Entertainment,1
285 Pictures,1
2929 Entertainment,1
2929 Productions,1
2B Films,5
2C Entertainment,1
2DS Productions,2
2nd Nature Films,1
3 Arts Entertainment,3
3 Roses Entertainment,1
3 in the Box,1
"3, 4 Women Productions",1
30 Bones Cinema,2
30 Something Productions,2
308 Ent,2
30WEST,1
33 Pictures,2
3311 Productions,5
333 Films,1
34th Street Films,2
360 Sound and Vision Productions,1
36films,1
37 Productions,1
377 Films,3
3:16 Productions,1
3:41am,1
3GI Industries,1
3K Pictures,1
3rd Fathom Entertainment,1
3rd Films,1
3rd Partner Productions,1
3½ Egos Productions,1
4 Features Film Co.,1
4 Lizard Productions,1
4 Mile Productions,1
40 Acres & A Mule Filmworks,7
40/7 Studios,1
40/West,1
40Kilo Films,1
42 Productions,1
42ND street films,1
454 Productions,1
4BM Productions,1
4G Vision,1
4Go West Productions,1
4PIX,1
4Reel Films,1
5-Second Films,1
50 Degrees Entertainment,2
501 Pictures,1
51 Entertainment,1
51 Millimeter,1
51 Minds Entertainment,1
5100 Films,1
5150 Action,3
553AM Creative Group,1
5th Street Films,1
5x5 Productions,1
6 Foot Films,3
600 West Productions,1
611 Films,1
6140 Productions,1
625 Productions,1
6A Films,1
7 Arts,1
7 Ponies Productions,1
77 Entertainment,1
77 Films,1
7A Productions,1
7Films7,1
7Heaven Productions,2
8 Ball Stunts of Hollywood,1
818 Media Productions,1
8180 Films,1
8383 Productions,1
870 Films,3
8750 Films,1
8th Day Pictures,1
8th House Entertainment,1
905 Productions,1
93 Films,1
95Forty Productions,1
@theocean Entertainment,1
A & D Studios,1
A Band Apart,1
A Bigger Boat,2
A Bunch of Filmmakers,1
A Certain Film Productions,1
A Common Thread,2
A Day in the Life Films,2
A Few Good Samaritans LLC,1
A Hot Dog,1
A I R MEDIA,1
A Mates Entertainment Release,1
A Palm Springs Joint,1
A Picture Show Film Company,1
A Shadow in the Dark Productions,2
A Stern Talking To,2
A Stream In The Desert,2
A Strike to Burn Productions,1
A Winter Rose,1
A&G,1
A+E Studios,1
A. David McKay Films,1
A.J. Productions,1
A24,8
A7SLE Films,1
AAB Film,1
AC Transformative Media,1
ACE Pictures Entertainment,2
ACE Productions,1
ACM Films,4
ADF Productions,1
ADF Studios,1
ADIUVO Productions,1
ADME Studios,1
AEC,1
AG Studios,1
AGBO,1
AGGK Films,1
AGS Productions,1
AJ Productions,1
AJI Productions,1
AJK Films,1
AK Worldwide,1
AKW Worldwide,1
ALLaBorde Films,1
AMBI Group,3
AMIB Productions,1
AMP Creative,1
AMP International,2
ANA Media,1
ANOC Productions,3
APB Production,1
APS Films,1
AR Films,1
ARC Entertainment (II),1
AREA51 Media Group,1
ARO Entertainment,1
ASIG Productions,1
ATG Productions,1
ATO Pictures,2
AV1 Productions,1
AXI Pictures,1
AZ Film Studios,5
AZ Works,1
Aardwolf Entertainment,1
Aaronde Entertainment,1
Abbolita Productions,4
Aberration Films,1
Abovo Films,1
Abruzzo Productions,1
Absentia Pictures,1
Absinthe Productions,1
Abso Lutely,1
Abstract Forces,1
Abundant Productions,2
Acacia Filmed Entertainment,2
Accelerated Matter,2
Access Entertainment,1
Accio Cine,1
Accord Productions,1
Ace Entertainment,2
Acevedo Smith Productions,1
Acid Bath Productions,2
Acquire Talent Agency,1
Acrolight Pictures,2
Across The Floor Productions,1
Across Town Productions,1
Act 13,1
Action Logistics,1
Actionhouse Pictures,3
Actium Pictures,1
Active Entertainment,5
Active Fox Productions,2
Ad Hominem Enterprises,2
AdScott Pictures,1
Ada Films,1
Adamant Images,1
Adaptive Studios,1
Adastra Films,1
Addictive Pictures,2
Adishankarbrand,1
Adjusted Perspective,1
Adonais Productions,1
Adrenaline Entertainment,1
Advantage Entertainment,1
Adversary Films,2
Aegean Ent.,1
Aeroplano,1
Affect Entertainment,1
Affidavit Productions,1
Affirm Films,7
Afflicted Picturehouse,1
Afflicted Pictures,1
After Dark Films,12
After Eden Pictures,1
AfterBurner Entertainment,1
AfterLight Pictures,1
Aftershock Studios,1
AgX,4
Aggregate Films,3
Agility Studios,2
Agora Entertainment,1
Aha Productions,1
Aimes Media Production,1
Air Bud Entertainment,2
Akil Production Company,1
Al Bravo Films,1
Alarum Pictures,1
Alberio Films,1
Alchemical Brothers,1
Alcon Entertainment,10
Alcove Productions/Parkwood East Film Co.,1
Aldamisa Entertainment,5
Alderman Company,1
Aledo Film Group,1
Aletheia Films,1
Alex Israel,1
Alexander Designs,1
Alexander Groupe,1
AliBella Pictures,1
Alianza Canada Entertainment,1
Alien Chadow Films,1
Alien Propaganda Films,1
Alienworx Productions,1
Align Entertainment,1
Aliquot Films,1
All Cash Productions,1
All Def Digital,1
All Entertainment,1
All For George Productions,3
All Gods Creatures,1
All Mine Productions,1
All You Can Dream,1
All in Films,1
All the Others,1
Allagash,1
Allegheny Image Factory,2
Allegiance Theater,1
Allegra Pictures,1
Alliance Cinema,2
Alliance Films,1
Alliecine,2
Allison Shearmur Productions,2
Alloy Entertainment,3
Allred Films,1
Allspark Pictures,1
AllyCat Entertainment,1
Almighty Dog Productions,1
Almost Never Films Inc.,2
Aloe Entertainment,1
Along The Tracks,2
Aloris Entertainment,1
Aloupis Productions,1
Alpha Dog Pictures TX,1
Alpha Hollywood Studios,2
Alpha Studios,1
Alpha Wolf Productions,1
Also Known As Pictures,3
AltaVista Entertainment Group,1
Altar Identity Studios,1
AltarBoy Productions,1
Alter Ego Industries,1
Alterna Comics,1
Alternate Ending Films,1
Alternate Ending Studios,1
Alternative Cinema,1
Alvarez Company,1
Always Write Productions,1
Amarath Arc,1
Amarok Productions,1
Amasia Entertainment,3
Amateur Detective Films,1
Amazon Studios,12
Amber Entertainment,1
Amber Lamps,1
Amberock Productions,1
Ambition Entertainment,1
Ambush Entertainment,1
Ameena Sky Media,1
American Courtyard Productions,1
American Dream Machine,1
American Eyesore Films,1
American Film Productions,4
American High,4
American Moving Pictures,1
American Original,1
American Work,1
American World Pictures (AWP),1
American Zoetrope,5
Americana Films,2
Amerimum,1
Amnesty Pictures,1
Amor Domini Productions,1
An Olivetree Production,1
Anamorphic Media,1
Anaphrodisiac,1
Anarchist's Convention Films,2
Anchor Bay Films,8
Anchor Media Studios,1
Ancient Game Productions,1
Ancona Films,1
And They're Off...,1
And You Films,1
Andrew Amsden Films,1
Andrew Lauren Productions,1
Ange Maya Pictures,1
Angel Capital Film Group,1
Angel Powers Productions,1
Angel Valley Productions,1
Angeli Films,1
Angelina Pictures,1
Angry Baby Monkey Pictures,1
Angry Leo,2
Angry Monkey Entertainment,1
Anguish Film,1
Animal Kingdom,4
Animals,1
Animated Family Films,1
Animator,1
Animus Films,1
Ankaboot Productions,1
Ankle Sock & Baseball Pants,1
Anna Biller Productions,1
Annapurna Pictures,13
Annapurna Productions,2
Annenberg Feature Film Fellowship / Sundance Institute,1
Annum Films,2
Annus Mirabilis Inc.,1
Anonymous Content,10
Another Harvest Moon,1
Ansgar Media,1
Anthem Films,2
Anthem Productions,1
Antic Pictures,1
Antidote Films (I),1
Anton Pictures,1
Anvil Entertainment,2
Anxiety Productions,1
Apartment Story,1
Apartment Two,1
Apatow Productions,2
Aperture Media Productions,1
Appian Way,3
Applied Art Productions,1
Apropos Films,1
Aqueous Entertainment,1
Arad Productions,1
Aramid Entertainment Fund,1
Arcadia Creative,1
Arcana Studio,1
Arcani Pictures,1
Arcanum Pictures,1
Arcay Studios,1
ArchAngel Films,1
Archer Film Productions,1
Archer Gray,5
Archon Entertainment,1
Archstone Pictures,4
Archway Pictures,1
Arcturus Entertainment,1
Ardennes Group,1
Argent Pictures,1
Argenta Productions,1
Argentum Entertainment,1
Aria Relic Cinema,1
ArieScope Pictures,5
Aristar Entertainment,5
Ariztical Entertainment,2
Arjay Entertainment,1
Armando Montelongo Productions,1
Armian Pictures,2
Arminius Films,1
Armory Films,4
Arramis Films,2
Arrested Development Productions,1
Arrow Productions,1
Arrowstorm Entertainment,15
Art Cine Productions,1
Art Held Hostage,1
Art Institute of the Inland Empire,1
Art LA Productions,1
Art Machine Productions,1
ArtProd,2
Arthur Cohn Productions,1
Arthur Olivier Productions,1
Artifact 2613,1
Artificial Person Productions,1
Artigo Indie,1
Artina Films,1
Artist Vodka Films,1
Artists First,4
Artists Public Domain,2
Artists Unlimited Films,1
Artmedia,1
Arts+Labor,4
Artvamp,1
Arwayne Productions,1
Ascension Media,2
Ascent Releasing,1
Ash Films,1
Ashmawey Films,1
Ask Around Productions,1
