genre,year,worlwide_gross_income
Action,2010,7004213763.0
Action,2011,9487076977.0
Action,2012,7615294231.0
Action,2013,9988649616.0
Action,2014,12794696652.0
Action,2015,12622370026.0
Action,2016,10953649542.0
Action,2017,11701919823.0
Action,2018,12432868490.0
Action,2019,11104678658.0
Action,2020,1110023055.0
Adventure,2010,2484901735.0
Adventure,2011,1094865286.0
Adventure,2012,2070529852.0
Adventure,2013,954370848.0
Adventure,2014,1084308358.0
Adventure,2015,538165834.0
Adventure,2016,882896530.0
Adventure,2017,543278829.0
Adventure,2018,780129761.0
Adventure,2019,1182169556.0
Adventure,2020,247122830.0
Animation,2010,4173726800.0
Animation,2011,4065786401.0
Animation,2012,3913147128.0
Animation,2013,5126618537.0
Animation,2014,3252962929.0
Animation,2015,4066198144.0
Animation,2016,4733159986.0
Animation,2017,4170037747.0
Animation,2018,2954449294.0
Animation,2019,5308553154.0
Animation,2020,174324095.0
Biography,2010,713205615.0
Biography,2011,253766541.0
Biography,2012,585159434.0
Biography,2013,1137443678.0
Biography,2014,590997562.0
Biography,2015,716951979.0
Biography,2016,808801489.0
Biography,2017,688767239.0
Biography,2018,858881449.0
Biography,2019,224132989.0
Biography,2020,13837038.0
Comedy,2010,3232352599.0
Comedy,2011,3877088362.0
Comedy,2012,3357229364.0
Comedy,2013,3008420189.0
Comedy,2014,2302325445.0
Comedy,2015,2251152720.0
Comedy,2016,2217932495.0
Comedy,2017,1224505299.0
Comedy,2018,1683018600.0
Comedy,2019,1746362230.0
Comedy,2020,22528764.0
Crime,2010,372032177.0
Crime,2011,414294953.0
Crime,2012,296847501.0
Crime,2013,934511582.0
Crime,2014,196580192.0
Crime,2015,285147404.0
Crime,2016,476795984.0
Crime,2017,99888010.0
Crime,2018,535123396.0
Crime,2019,1192451973.0
Crime,2020,642378.0
Family,2011,3184.0
Family,2014,178360.0
Family,2015,102918.0
Family,2016,4539.0
Family,2017,1264224904.0
Family,2018,89988.0
Family,2019,52191.0
Fantasy,2010,38587804.0
Fantasy,2011,95746935.0
Fantasy,2012,34153101.0
Fantasy,2013,104225223.0
Fantasy,2014,885379.0
Fantasy,2015,35275.0
Fantasy,2016,152502.0
Fantasy,2017,25010.0
Fantasy,2018,1665289.0
Fantasy,2019,487986.0
Horror,2010,427780537.0
Horror,2011,635293892.0
Horror,2012,477051547.0
Horror,2013,700487629.0
Horror,2014,710553759.0
Horror,2015,483163071.0
Horror,2016,433159423.0
Horror,2017,979893219.0
Horror,2018,793585299.0
Horror,2019,882627039.0
Horror,2020,53576737.0
Sci-Fi,2010,7862.0
Sci-Fi,2011,162039450.0
Sci-Fi,2012,1708.0
Sci-Fi,2016,5078.0
Sci-Fi,2019,10451.0
