country,original_title,year,genre,votes,avg_vote
India,Thegidi,2014,Crime,2295,7.7
India,Chandramukhi,2005,Action,4947,7.1
India,Temper,2015,Action,5600,7.4
India,Gopala Gopala,2015,Comedy,3456,7.3
India,Premam,2015,Comedy,16224,8.3
India,Naanum Rowdydhaan,2015,Action,3410,7.3
India,Bhale Bhale Magadivoy,2015,Comedy,3105,7.8
India,Mudhalvan,1999,Action,6088,8.3
India,Unnaipol Oruvan,2009,Crime,5063,8
India,Padayappa,1999,Action,5336,8.1
India,Business Man,2012,Action,9367,7.1
India,Paruthiveeran,2007,Action,3004,8.2
India,Alai Payuthey,2000,Drama,4933,8.3
India,Aagadu,2014,Action,3449,5.4
India,Brindaavanam,2010,Action,3556,7.1
India,Baasha,1995,Action,8447,8.2
India,Saheb Biwi Aur Gangster Returns,2013,Action,3716,6.8
India,Kuruthipunal,1995,Action,3558,8.5
India,Khaleja,2010,Action,7981,7.5
India,Maanagaram,2017,Action,3486,8.1
USA,Avengers: Endgame,2019,Action,754786,8.4
USA,Avatar,2009,Action,1101160,7.8
USA,Titanic,1997,Drama,1023181,7.8
USA,Star Wars: Episode VII - The Force Awakens,2015,Action,845102,7.9
USA,Avengers: Infinity War,2018,Action,796486,8.4
USA,Jurassic World,2015,Action,569512,7
USA,The Lion King,2019,Animation,199521,6.9
USA,The Avengers,2012,Action,1241220,8
USA,Fast & Furious 7,2015,Action,353562,7.1
USA,Frozen II,2019,Animation,122760,6.9
USA,Avengers: Age of Ultron,2015,Action,722685,7.3
USA,Black Panther,2018,Action,597058,7.3
UK,Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,743339,8.1
USA,Star Wars: Episode VIII - The Last Jedi,2017,Action,547797,7
USA,Jurassic World: Fallen Kingdom,2018,Action,256534,6.2
USA,Frozen,2013,Animation,560595,7.4
USA,Beauty and the Beast,2017,Family,263977,7.1
USA,Incredibles 2,2018,Animation,239495,7.6
China,The Fate of the Furious,2017,Action,199388,6.7
USA,Iron Man Three,2013,Action,739816,7.2
USA,Minions,2015,Animation,207787,6.4
USA,Captain America: Civil War,2016,Action,644241,7.8
USA,Aquaman,2018,Action,348878,6.9
New Zealand,The Lord of the Rings: The Return of the King,2003,Action,1604280,8.9
USA,Spider-Man: Far from Home,2019,Action,304708,7.5
