country,original_title,year,genre,avg_vote,worlwide_gross_income
USA,Avengers: Endgame,2019,Action,8.4,2797800564
USA,Avatar,2009,Action,7.8,2790439092
USA,Titanic,1997,Drama,7.8,2195169869
USA,Star Wars: Episode VII,2015,Action,7.9,2068224036
USA,Avengers: Infinity War,2018,Action,8.4,2048359754
USA,Jurassic World,2015,Action,7,1670401444
USA,The Lion King,2019,Animation,6.9,1656963790
USA,The Avengers,2012,Action,8,1518814206
USA,Fast & Furious 7,2015,Action,7.1,1515048151
USA,Frozen II,2019,Animation,6.9,1450026933
USA,Avengers: Age of Ultron,2015,Action,7.3,1402808753
USA,Black Panther,2018,Action,7.3,1347280838
UK,Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,8.1,1342166497
USA,Star Wars: Episode VIII - The Last Jedi,2017,Action,7,1332540187
USA,Jurassic World: Fallen Kingdom,2018,Action,6.2,1331958159
India,The Villain,2018,Action,5.5,1300000000
USA,Frozen,2013,Animation,7.4,1280803353
USA,Beauty and the Beast,2017,Family,7.1,1264064380
USA,Incredibles 2,2018,Animation,7.6,1242805359
China,The Fate of the Furious,2017,Action,6.7,1236005118
USA,Iron Man Three,2013,Action,7.2,1214811252
USA,Minions,2015,Animation,6.4,1159443129
USA,Captain America: Civil War,2016,Action,7.8,1153332120
USA,Aquaman,2018,Action,6.9,1148485886
New Zealand,The Lord of the Rings: The Return of the King,2003,Action,8.9,1142271098
USA,Spider-Man: Far from Home,2019,Action,7.5,1131927996
USA,Captain Marvel,2019,Action,6.9,1128276090
USA,Transformers: Dark of the Moon,2011,Action,6.2,1123794079
UK,Skyfall,2012,Action,7.7,1108561013
USA,Transformers: Age of Extinction,2014,Action,5.6,1104054072
UK,The Dark Knight Rises,2012,Action,8.4,1081133191
USA,Joker,2019,Crime,8.5,1074251311
USA,Star Wars: Episode IX - The Rise of Skywalker,2019,Action,6.6,1074144248
USA,Toy Story 4,2019,Animation,7.8,1073394593
USA,Toy Story 3,2010,Animation,8.3,1066969703
USA,Pirates of the Caribbean: Dead Man's Chest,2006,Action,7.3,1066179725
USA,Rogue One,2016,Action,7.8,1056057720
UK,Aladdin,2019,Adventure,7,1050693953
USA,Pirates of the Caribbean: On Stranger Tides,2011,Action,6.6,1045713802
USA,Despicable Me 3,2017,Animation,6.3,1034799409
USA,Jurassic Park,1993,Action,8.1,1033758854
USA,Finding Dory,2016,Animation,7.3,1028570889
USA,Star Wars: Episode I - The Phantom Menace,1999,Action,6.5,1027082707
USA,Alice in Wonderland,2010,Adventure,6.4,1025467110
USA,Zootopia,2016,Animation,8,1023789075
New Zealand,The Hobbit: An Unexpected Journey,2012,Adventure,7.8,1017003568
USA,The Dark Knight,2008,Action,9,1005455211
UK,Harry Potter and the Sorcerer's Stone,2001,Adventure,7.6,1001985848
UK,Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,7.7,976952911
USA,Despicable Me 2,2013,Animation,7.3,970766005
USA,The Lion King,1994,Animation,8.5,968511805
UK,The Jungle Book,2016,Adventure,7.4,966552003
USA,Jumanji: Welcome to the Jungle,2017,Action,6.9,962102237
USA,Pirates of the Caribbean: At World's End,2007,Action,7.1,960996492
New Zealand,The Hobbit: The Desolation of Smaug,2013,Adventure,7.8,958366855
New Zealand,The Hobbit: The Battle of the Five Armies,2014,Adventure,7.4,956019788
New Zealand,The Lord of the Rings: The Two Towers,2002,Action,8.7,951227416
UK,Harry Potter and the Order of the Phoenix,2007,Action,7.5,942133343
USA,Finding Nemo,2003,Animation,8.1,940350086
UK,Harry Potter and the Half-Blood Prince,2009,Action,7.6,934408366
USA,Shrek 2,2004,Animation,7.2,928760770
UK,Bohemian Rhapsody,2018,Biography,8,906884690
UK,Harry Potter and the Goblet of Fire,2005,Adventure,7.7,896381256
USA,Spider-Man 3,2007,Action,6.2,894983373
New Zealand,The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.8,887934303
USA,Ice Age: Dawn of the Dinosaurs,2009,Animation,6.9,886686817
UK,Spectre,2015,Action,6.8,880674609
USA,Spider-Man: Homecoming,2017,Action,7.4,880166924
UK,Harry Potter and the Chamber of Secrets,2002,Adventure,7.4,879569371
USA,Ice Age: Continental Drift,2012,Animation,6.6,877244782
USA,The Secret Life of Pets,2016,Animation,6.5,875457937
USA,Batman v Superman: Dawn of Justice,2016,Action,6.4,873637528
China,Zhan lang II,2017,Action,6,870325439
USA,Inception,2010,Action,8.8,869784991
USA,Star Wars: Episode III - Revenge of the Sith,2005,Action,7.5,868390560
USA,The Hunger Games: Catching Fire,2013,Action,7.5,865011746
USA,Guardians of the Galaxy Vol. 2,2017,Action,7.6,863756051
USA,Inside Out,2015,Animation,8.1,858071350
China,Venom,2018,Action,6.7,856085151
USA,Thor: Ragnarok,2017,Action,7.9,853979142
USA,Transformers: Revenge of the Fallen,2009,Action,6,836303693
USA,The Twilight Saga: Breaking Dawn - Part 2,2012,Adventure,5.5,829746820
USA,Spider-Man,2002,Action,7.3,825025036
USA,Wonder Woman,2017,Action,7.4,821847012
USA,Independence Day,1996,Action,7,817400891
UK,Fantastic Beasts and Where to Find Them,2016,Adventure,7.3,814038508
USA,Shrek the Third,2007,Animation,6.1,813367380
USA,Coco,2017,Animation,8.4,807083670
USA,Jumanji: The Next Level,2019,Action,6.7,796575993
UK,Harry Potter and the Prisoner of Azkaban,2004,Adventure,7.9,796158319
USA,Pirates of the Caribbean: Dead Men Tell No Tales,2017,Action,6.6,794878815
USA,E.T. the Extra-Terrestrial,1982,Family,7.8,793482178
USA,2012,2009,Action,5.8,791217826
USA,Mission: Impossible - Fallout,2018,Action,7.7,791120426
USA,Indiana Jones and the Kingdom of the Crystal Skull,2008,Action,6.1,790653942
USA,Spider-Man 2,2004,Action,7.3,788976453
USA,Furious 6,2013,Action,7.1,788680968
USA,Deadpool 2,2018,Action,7.7,785794179
USA,Deadpool,2016,Action,8,782612155
USA,Star Wars,1977,Action,8.6,775768912
USA,Guardians of the Galaxy,2014,Action,8,772791156
USA,The Da Vinci Code,2006,Mystery,6.6,760006945
USA,Fast & Furious Presents: Hobbs & Shaw,2019,Action,6.4,759056935
USA,Maleficent,2014,Action,7,758411648
USA,The Amazing Spider-Man,2012,Action,6.9,757930663
USA,The Hunger Games: Mockingjay - Part 1,2014,Action,6.6,755356711
USA,Shrek Forever After,2010,Animation,6.3,752600867
India,Chandramukhi,2005,Action,7.1,750000000
USA,Madagascar 3: Europe's Most Wanted,2012,Animation,6.8,746921274
USA,Suicide Squad,2016,Action,6,746846894
USA,X-Men: Days of Future Past,2014,Action,8,746045700
UK,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure,6.9,745013115
USA,Monsters University,2013,Animation,7.3,743559607
USA,The Matrix Reloaded,2003,Action,7.2,741847890
India,Temper,2015,Action,7.4,740300000
India,Naan Sigappu Manithan,2014,Action,6.5,740000000
USA,Up,2009,Animation,8.2,735099082
China,Ne Zha zhi mo tong jiang shi,2019,Animation,7.5,726063471
UK,Gravity,2013,Drama,7.7,723192705
USA,Captain America: The Winter Soldier,2014,Action,7.7,714421503
USA,The Twilight Saga: Breaking Dawn - Part 1,2011,Adventure,4.9,712205856
USA,The Twilight Saga: New Moon,2009,Adventure,4.7,711025481
USA,Dawn of the Planet of the Apes,2014,Action,7.6,710644566
USA,Transformers,2007,Action,7,709709780
USA,The Amazing Spider-Man 2,2014,Action,6.6,708982323
Canada,It,2017,Horror,7.3,701796444
China,Liu lang di qiu,2019,Action,6,699856699
USA,The Twilight Saga: Eclipse,2010,Adventure,5,698491347
USA,Interstellar,2014,Adventure,8.6,696742056
USA,Mission: Impossible - Ghost Protocol,2011,Action,7.4,694713380
USA,The Hunger Games,2012,Action,7.2,694394724
USA,Mission: Impossible - Rogue Nation,2015,Action,7.4,682716636
USA,Justice League,2017,Action,6.3,681871991
USA,Forrest Gump,1994,Drama,8.8,678229452
USA,Doctor Strange,2016,Action,7.5,677718395
USA,The Sixth Sense,1999,Drama,8.1,672806292
USA,Man of Steel,2013,Action,7,668045518
USA,Ice Age: The Meltdown,2006,Animation,6.8,667094506
USA,Kung Fu Panda 2,2011,Animation,7.2,665692281
India,Gopala Gopala,2015,Comedy,7.3,660100000
USA,The Hunger Games: Mockingjay - Part 2,2015,Action,6.5,658344137
USA,Big Hero 6,2014,Animation,7.8,657868146
UK,Fantastic Beasts: The Crimes of Grindelwald,2018,Adventure,6.6,654855901
USA,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action,8,654264015
USA,Star Wars: Episode II - Attack of the Clones,2002,Action,6.5,653779970
USA,Thor: The Dark World,2013,Action,6.9,644783140
USA,Moana,2016,Animation,7.6,643347400
Japan,Sing,2016,Animation,7.1,634154922
USA,Kung Fu Panda,2008,Animation,7.5,631746197
USA,The Incredibles,2004,Animation,8,631606713
UK,The Martian,2015,Adventure,8,630161890
USA,Hancock,2008,Action,6.4,629443428
USA,Fast Five,2011,Action,7.3,626137675
USA,Men in Black 3,2012,Action,6.8,624026776
USA,Iron Man 2,2010,Action,7,623933331
USA,Ratatouille,2007,Animation,8,623726085
USA,Ant-Man and the Wasp,2018,Action,7.1,622674139
USA,How to Train Your Dragon 2,2014,Animation,7.8,621537519
USA,Logan,2017,Action,8.1,619021436
USA,The Lost World: Jurassic Park,1997,Action,6.6,618638999
UK,Casino Royale,2006,Action,8,616501619
USA,The Passion of the Christ,2004,Drama,7.2,612054428
USA,Mamma Mia!,2008,Comedy,6.4,609910134
USA,Life of Pi,2012,Adventure,7.9,609016565
USA,Transformers: The Last Knight,2017,Action,5.2,605425157
USA,Madagascar: Escape 2 Africa,2008,Animation,6.6,603900354
USA,War of the Worlds,2005,Adventure,6.5,603873119
India,Premam,2015,Comedy,8.3,600000000
USA,Tangled,2010,Animation,7.7,592461732
UK,Quantum of Solace,2008,Action,6.6,589580482
USA,Men in Black,1997,Action,7.3,589390539
