country,original_title,year,genre,avg_vote,votes,budget,worlwide_gross_income
USA,The Heiress,1949,"Drama, Romance",8.1,13301,2600000.0,16.0
"Argentina, Netherlands, Germany",Camino a La Paz,2015,Drama,7.0,625,650000.0,17.0
"Germany, Sweden, Denmark",Eagle Hunter's Son,2009,"Drama, Family",6.4,129,1200000.0,23.0
"Germany, UK",Inbred,2011,"Comedy, Horror",5.2,4536,1250000.0,24.0
USA,Zyzzyx Rd,2006,"Crime, Drama, Thriller",4.1,983,2000000.0,30.0
USA,Older Than America,2008,Drama,5.3,857,1000000.0,32.0
UK,The Marker,2017,"Crime, Thriller",5.4,279,750000.0,37.0
Brazil,El bosque negro,2018,Horror,5.7,167,675000.0,43.0
UK,7 Lives,2011,"Fantasy, Thriller",3.5,416,2500.0,51.0
"Finland, Sweden, France",Små mirakel och stora,2006,Drama,5.8,185,1983558.0,57.0
France,Dans ton sommeil,2010,"Horror, Thriller",5.6,1375,1400000.0,73.0
Mexico,Atroz (Atrocious),2015,Horror,5.3,435,7000.0,74.0
"Spain, France, Romania",Història de la meva mort,2013,Drama,6.5,657,1300000.0,77.0
China,Yi ge mo sheng nu ren de lai xin,2004,Drama,6.8,663,20000000.0,78.0
Hungary,Egyetleneim,2006,"Comedy, Drama, Romance",5.8,218,48000000.0,88.0
"Lithuania, France, Belgium",Aurora,2012,"Romance, Sci-Fi, Thriller",6.0,2502,1175000.0,91.0
"Finland, Estonia",Stiilipidu,2005,"Comedy, Drama",6.1,244,607000.0,95.0
"USA, Morocco",The Objective,2008,"Horror, Sci-Fi, Thriller",5.5,7744,4000000.0,95.0
USA,Some Guy Who Kills People,2011,"Comedy, Crime, Drama",6.4,5607,300000.0,113.0
Spain,Dixie y la rebelión zombi,2014,Animation,4.6,185,1800000.0,120.0
UK,Darling,1965,"Drama, Romance",7.1,5876,400000.0,137.0
France,Rendez-vous à Kiruna,2012,Drama,6.4,114,2000000.0,148.0
South Africa,Boy Called Twist,2004,Drama,6.6,147,2400000.0,177.0
UK,The Angelic Conversation,1985,Drama,6.2,708,35000.0,205.0
"UK, Canada, USA",Jeremiah Terminator LeRoy,2018,"Biography, Drama",5.3,1621,2000000.0,205.0
UK,Pandorica,2016,Sci-Fi,3.6,470,75000.0,228.0
India,Sarrainodu,2016,"Action, Drama",6.4,4022,750000000.0,239.0
Norway,Dirk Ohm - Illusjonisten som forsvant,2015,"Drama, Mystery",5.5,189,21600000.0,273.0
USA,Blood Car,2007,"Comedy, Horror",5.3,2384,25000.0,297.0
USA,Trojan War,1997,Comedy,5.7,5636,15000000.0,309.0
UK,100 Streets,2016,Drama,5.7,3645,3000000.0,309.0
France,The Lost Door,2008,"Drama, Thriller",4.4,173,1200000.0,328.0
UK,Turnout,2011,Drama,5.4,271,500000.0,333.0
Indonesia,Babi Buta yang Ingin Terbang,2008,Drama,6.1,215,250000.0,344.0
UK,The Reverend,2011,Horror,4.0,375,1000000.0,366.0
Argentina,Tiempo muerto,2016,Drama,6.1,172,400000.0,369.0
UK,Saturday Night and Sunday Morning,1960,"Drama, Romance",7.6,7520,100000.0,370.0
"UK, USA",Chitty Chitty Bang Bang,1968,"Adventure, Family, Fantasy",6.9,40116,10000000.0,398.0
Canada,La vallée des larmes,2012,Drama,7.4,566,0.0,404.0
Spain,Asmodexia,2014,Horror,4.6,1127,500000.0,418.0
USA,The Wolf Man,1941,Horror,7.3,23071,180000.0,420.0
Canada,The Dark Hours,2005,"Horror, Thriller",6.0,5212,500000.0,423.0
Croatia,Ta divna Splitska noc,2004,"Crime, Drama, Romance",7.4,1427,250000.0,427.0
Russia,Geroy,2016,"Action, Drama, Romance",4.6,385,7000000.0,434.0
UK,My Name Is Lenny,2017,"Biography, Drama, Sport",6.2,2467,10000000.0,435.0
Brazil,Mar Negro,2013,Horror,5.6,238,300000.0,435.0
China,Yi shi er niao,2005,"Action, Adventure, Comedy",3.5,140,15000000.0,449.0
UK,Piggy,2012,"Horror, Thriller",5.6,1427,900000.0,467.0
USA,Rome & Jewel,2008,"Drama, Musical",4.2,129,1200000.0,470.0
India,Pushpaka Vimana,2017,"Comedy, Drama, Family",7.5,257,250000000.0,499.0
France,Baisers volés,1968,"Comedy, Drama, Romance",7.7,11806,350000.0,509.0
UK,Fahrenheit 451,1966,"Drama, Sci-Fi",7.2,40524,1500000.0,509.0
"Norway, United Arab Emirates",Brev til Kongen,2014,Drama,6.9,229,6000000.0,529.0
Romania,Occident,2002,Comedy,7.6,2072,450000.0,533.0
India,Brahmotsavam,2016,"Action, Drama, Family",4.3,2820,500000000.0,541.0
Turkey,Beginner,2017,Drama,6.3,221,300000.0,551.0
Canada,The Pit,1981,"Horror, Mystery",5.8,2231,1000000.0,560.0
USA,12 Angry Men,1957,"Crime, Drama",8.9,668473,350000.0,576.0
Canada,Shake Hands with the Devil,2007,"Drama, History, War",7.6,3202,11000000.0,594.0
Bulgaria,Damascena,2017,Drama,6.0,143,2600000.0,594.0
