country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
USA,The Heiress,1949,Drama,8.1,13301,16.0
Germany,Inbred,2011,Comedy,5.2,4536,24.0
Sweden,ABBA: The Movie,1977,Comedy,6.5,2963,38.0
UK,My Days of Mercy,2017,Drama,6.4,2754,51.0
USA,400 Days,2015,Mystery,4.4,10018,58.0
Lithuania,Aurora,2012,Romance,6.0,2502,91.0
USA,The Objective,2008,Horror,5.5,7744,95.0
USA,Some Guy Who Kills People,2011,Comedy,6.4,5607,113.0
UK,Darling,1965,Drama,7.1,5876,137.0
France,Pauline à la plage,1983,Comedy,7.4,6644,159.0
USA,All That Heaven Allows,1955,Drama,7.6,12957,170.0
UK,Red White & Blue,2010,Drama,6.4,5444,177.0
UK,Outcast,2010,Horror,5.3,2314,179.0
Federal Republic of Yugoslavia,Lepa sela lepo gore,1996,Comedy,8.7,14304,211.0
India,Sardaar Gabbar Singh,2016,Action,4.8,2195,218.0
India,Sarrainodu,2016,Action,6.4,4022,239.0
USA,Creature from the Black Lagoon,1954,Horror,7.0,25643,275.0
Japan,Anchiporuno,2016,Drama,6.5,2598,294.0
USA,Blood Car,2007,Comedy,5.3,2384,297.0
USA,Trojan War,1997,Comedy,5.7,5636,309.0
UK,100 Streets,2016,Drama,5.7,3645,309.0
UK,Saturday Night and Sunday Morning,1960,Drama,7.6,7520,370.0
UK,Chitty Chitty Bang Bang,1968,Adventure,6.9,40116,398.0
USA,The Wolf Man,1941,Horror,7.3,23071,420.0
Canada,The Dark Hours,2005,Horror,6.0,5212,423.0
UK,My Name Is Lenny,2017,Biography,6.2,2467,435.0
France,La nuit américaine,1973,Comedy,8.0,19790,509.0
France,Baisers volés,1968,Comedy,7.7,11806,509.0
France,Domicile conjugal,1970,Comedy,7.5,8003,509.0
France,Les deux Anglaises et le continent,1971,Romance,7.4,4721,509.0
France,La femme d'à côté,1981,Drama,7.3,6993,509.0
France,Vivement dimanche!,1983,Comedy,7.3,5613,509.0
UK,Fahrenheit 451,1966,Drama,7.2,40524,509.0
France,L'amour en fuite,1979,Comedy,7.1,5927,509.0
France,La chambre verte,1978,Drama,7.0,2615,509.0
USA,68 Kill,2017,Comedy,6.0,4694,522.0
USA,Meeting Evil,2012,Crime,5.3,11599,525.0
USA,Higher Power,2018,Action,4.8,2138,528.0
Romania,Occident,2002,Comedy,7.6,2072,533.0
India,Brahmotsavam,2016,Action,4.3,2820,541.0
Canada,The Pit,1981,Horror,5.8,2231,560.0
USA,12 Angry Men,1957,Crime,8.9,668473,576.0
Canada,Shake Hands with the Devil,2007,Drama,7.6,3202,594.0
Canada,Edwin Boyd,2011,Crime,6.2,4124,625.0
India,Natsamrat,2016,Drama,9.1,4880,633.0
USA,Nature Calls,2012,Comedy,4.0,2197,646.0
USA,Gentlemen Prefer Blondes,1953,Comedy,7.2,30759,648.0
USA,King Kong,1933,Adventure,7.9,77507,651.0
Japan,Yuke yuke nidome no shojo,1969,Drama,7.5,2309,659.0
Japan,Appurushido: Ekusu makina,2007,Animation,7.1,9283,662.0
USA,Syrup,2013,Comedy,5.7,10565,663.0
India,I Am Kalam,2010,Comedy,8.0,3511,691.0
UK,The Haunting,1963,Horror,7.5,33652,742.0
USA,Wings,1927,Drama,7.5,11139,746.0
USA,Flakes,2007,Comedy,6.0,3331,778.0
UK,This Sporting Life,1963,Drama,7.7,5752,813.0
Hong Kong,PTU,2003,Crime,6.9,3924,849.0
USA,Letter from an Unknown Woman,1948,Drama,8.0,10756,852.0
France,La ronde,1950,Drama,7.6,4733,852.0
USA,The Underground Comedy Movie,1999,Comedy,2.2,2424,856.0
Australia,Acolytes,2008,Crime,5.5,2207,860.0
UK,Jubilee,1978,Comedy,6.1,2821,923.0
Denmark,Epidemic,1987,Drama,6.2,4798,938.0
India,Pranchiyettan and the Saint,2010,Comedy,8.3,4584,957.0
Italy,Giù la testa,1971,Drama,7.6,29314,980.0
India,Nannaku Prematho,2016,Action,7.6,8672,1003.0
Denmark,Forbrydelsens element,1984,Crime,6.8,9066,1003.0
USA,How to Rob a Bank (and 10 Tips to Actually Get Away with It),2007,Comedy,6.1,5874,1006.0
Japan,Gin-iro no kami no Agito,2006,Animation,6.5,4424,1052.0
Japan,Jûbê ninpûchô,1993,Animation,7.9,33843,1073.0
France,Le salaire de la peur,1953,Adventure,8.1,52952,1098.0
Hungary,Csak szex és más semmi,2005,Comedy,6.3,2938,1112.0
Japan,Bara no sôretsu,1969,Drama,7.9,4430,1114.0
USA,Seconds Apart,2011,Horror,5.7,5986,1137.0
USA,Jack & Diane,2012,Drama,4.4,2661,1142.0
India,Rann,2010,Drama,6.9,2341,1146.0
Taiwan,Kong bu fen zi,1986,Crime,7.8,2589,1185.0
USA,The Maltese Falcon,1941,Film-Noir,8.0,146815,1255.0
India,Hind Ka Napak Ko Jawab,2017,Action,6.7,3977,1314.0
USA,The Dog Problem,2006,Comedy,6.3,3213,1344.0
Australia,The Last Wave,1977,Drama,7.0,8419,1382.0
UK,"Love, Honour and Obey",2000,Comedy,6.5,5029,1400.0
India,Kalyug,2005,Action,6.5,2402,1435.0
USA,The Woman,2011,Drama,6.0,21521,1449.0
Mexico,The Young One,1960,Drama,7.4,2439,1463.0
USA,The Package,2013,Action,5.0,3841,1469.0
UK,Cul-de-sac,1966,Comedy,7.1,11520,1500.0
Canada,Blackwoods,2001,Drama,2.8,2091,1500.0
USA,The Fly,1958,Drama,7.1,20329,1501.0
UK,Bad Day for the Cut,2017,Action,6.5,5480,1510.0
South Korea,Baramui paiteo,2004,Action,7.0,3724,1518.0
Australia,The Tunnel,2011,Horror,5.9,19103,1532.0
Serbia,Srpski film,2010,Horror,5.1,55866,1541.0
UK,Once Upon a Time in London,2019,Crime,5.9,4587,1567.0
France,La Pointe-Courte,1955,Drama,7.1,2598,1596.0
USA,42nd Street,1933,Comedy,7.4,10490,1600.0
Denmark,Pusher,1996,Crime,7.4,33653,1605.0
Denmark,Pusher III,2005,Crime,7.3,13364,1605.0
USA,The Task,2011,Horror,4.3,3249,1619.0
USA,Frankenstein,1931,Drama,7.8,63315,1626.0
Soviet Union,Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,1958,Biography,7.9,6567,1655.0
UK,I Want You,1998,Crime,6.1,2806,1672.0
Italy,Fellini - Satyricon,1969,Drama,6.9,14570,1729.0
UK,Late Night Shopping,2001,Comedy,6.9,2069,1743.0
USA,Detention of the Dead,2012,Action,4.5,2507,1777.0
USA,The Canyon,2009,Thriller,5.9,4046,1785.0
UK,Detour,2016,Action,6.2,5216,1788.0
USA,Abominable,2006,Horror,5.1,4073,1810.0
Federal Republic of Yugoslavia,Munje!,2001,Comedy,7.9,6507,1833.0
Spain,Viridiana,1961,Drama,8.2,21674,1843.0
Mexico,El ángel exterminador,1962,Drama,8.1,28767,1843.0
Spain,Hogar,2020,Adventure,6.3,11175,1845.0
Sweden,Såsom i en spegel,1961,Drama,8.1,22179,1848.0
France,Le testament d'Orphée ou ne me demandez pas pourquoi,1960,Biography,7.3,2832,1850.0
USA,An Affair to Remember,1957,Drama,7.5,27148,1854.0
USA,Invasion of the Body Snatchers,1956,Drama,7.7,43866,1861.0
USA,The Outsider,2018,Action,6.3,19548,1869.0
France,Cléo de 5 à 7,1962,Comedy,7.9,15797,1886.0
Russia,Voyna,2002,Action,7.7,3934,1887.0
Mexico,Fando y Lis,1968,Adventure,7.0,4873,1897.0
UK,Dead of Night,1945,Drama,7.7,10520,1919.0
USA,Shuttle,2008,Crime,5.7,5325,1925.0
USA,Best Man Down,2012,Comedy,6.4,8985,1938.0
India,Visaaranai,2015,Crime,8.5,6711,1943.0
Israel,Kirot,2009,Action,5.7,2391,1948.0
Germany,Errors of the Human Body,2012,Drama,5.3,2167,1984.0
Australia,The Horseman,2008,Crime,6.5,4726,1993.0
USA,The Night of the Hunter,1955,Crime,8.0,80215,2001.0
USA,Beautiful Joe,2000,Comedy,5.8,2164,2009.0
USA,The Bad and the Beautiful,1952,Drama,7.8,12941,2025.0
Soviet Union,Neokonchennaya pyesa dlya mekhanicheskogo pianino,1977,Drama,7.9,2938,2047.0
France,Le plaisir,1952,Comedy,7.7,4160,2097.0
India,Ustad Hotel,2012,Comedy,8.3,11118,2178.0
USA,Road to Paloma,2014,Drama,6.1,4595,2191.0
France,Le vieux fusil,1975,Drama,7.7,3598,2225.0
Soviet Union,Aleksandr Nevskiy,1938,Action,7.6,10279,2226.0
Italy,Mamma Roma,1962,Drama,7.8,8077,2248.0
Italy,Edipo Re,1967,Drama,7.4,4996,2248.0
Italy,Uccellacci e uccellini,1966,Comedy,7.3,4127,2248.0
USA,The Pool Boys,2009,Comedy,4.7,2401,2269.0
UK,The Hide,2008,Thriller,7.0,2145,2313.0
UK,Casino Royale,1967,Comedy,5.2,26559,2324.0
USA,The Killing Jar,2010,Crime,5.8,2500,2339.0
France,Une femme douce,1969,Drama,7.5,2298,2356.0
Yugoslavia,Oberst Redl,1985,Biography,7.6,2640,2357.0
USA,Scissors,1991,Horror,5.2,2404,2368.0
USA,The Devil Is a Woman,1935,Comedy,7.0,2942,2375.0
India,Aandavan Kattalai,2016,Drama,8.1,2124,2476.0
UK,Gun Shy,2017,Action,4.1,2555,2480.0
USA,Roberta,1935,Comedy,7.1,2860,2493.0
USA,Cassadaga,2011,Horror,5.3,3289,2544.0
Canada,Ginger Snaps,2000,Drama,6.8,40897,2554.0
USA,The Incredible Shrinking Man,1957,Horror,7.6,15583,2580.0
USA,Take Me,2017,Comedy,6.1,4108,2583.0
UK,Hammer of the Gods,2013,Action,4.5,7709,2590.0
Japan,Dead or Alive: Final,2002,Action,5.7,2306,2591.0
USA,Catfight,2016,Comedy,5.8,5188,2666.0
Denmark,Holiday,2018,Crime,5.7,3224,2678.0
USA,The Boys in the Band,1970,Drama,7.6,4030,2695.0
UK,Mum & Dad,2008,Horror,5.9,5707,2698.0
Hungary,Eichmann,2007,Biography,5.9,2987,2706.0
USA,Johnny Got His Gun,1971,Drama,7.9,15306,2735.0
India,Abrahaminte Santhathikal,2018,Action,7.5,4545,2735.0
