country,original_title,genre,avg_vote,votes,budget,worlwide_gross_income,year
USA,The Heiress,Drama,8.1,13301,"$2,600,000.00",$16.00,1949
Argentina,Camino a La Paz,Drama,7,625,"$650,000.00",$17.00,2015
Germany,Eagle Hunter's Son,Drama,6.4,129,"$1,200,000.00",$23.00,2009
Germany,Inbred,Comedy,5.2,4536,"$1,250,000.00",$24.00,2011
USA,Zyzzyx Rd,Crime,4.1,983,"$2,000,000.00",$30.00,2006
USA,Older Than America,Drama,5.3,857,"$1,000,000.00",$32.00,2008
UK,The Marker,Crime,5.4,279,"$750,000.00",$37.00,2017
Brazil,El bosque negro,Horror,5.7,167,"$675,000.00",$43.00,2018
UK,7 Lives,Fantasy,3.5,416,"$2,500.00",$51.00,2011
Finland,Små mirakel och stora,Drama,5.8,185,"$1,983,558.00",$57.00,2006
France,Dans ton sommeil,Horror,5.6,1375,"$1,400,000.00",$73.00,2010
Mexico,Atroz (Atrocious),Horror,5.3,435,"$7,000.00",$74.00,2015
Spain,Història de la meva mort,Drama,6.5,657,"$1,300,000.00",$77.00,2013
China,Yi ge mo sheng nu ren de lai xin,Drama,6.8,663,"$20,000,000.00",$78.00,2004
Hungary,Egyetleneim,Comedy,5.8,218,"$48,000,000.00",$88.00,2006
Lithuania,Aurora,Romance,6,2502,"$1,175,000.00",$91.00,2012
Finland,Stiilipidu,Comedy,6.1,244,"$607,000.00",$95.00,2005
USA,The Objective,Horror,5.5,7744,"$4,000,000.00",$95.00,2008
USA,Some Guy Who Kills People,Comedy,6.4,5607,"$300,000.00",$113.00,2011
Spain,Dixie y la rebelión zombi,Animation,4.6,185,"$1,800,000.00",$120.00,2014
UK,Darling,Drama,7.1,5876,"$400,000.00",$137.00,1965
France,Rendez-vous à Kiruna,Drama,6.4,114,"$2,000,000.00",$148.00,2012
South Africa,Boy Called Twist,Drama,6.6,147,"$2,400,000.00",$177.00,2004
UK,The Angelic Conversation,Drama,6.2,708,"$35,000.00",$205.00,1985
UK,Jeremiah Terminator LeRoy,Biography,5.3,1621,"$2,000,000.00",$205.00,2018
UK,Pandorica,Sci-Fi,3.6,470,"$75,000.00",$228.00,2016
India,Sarrainodu,Action,6.4,4022,"$750,000,000.00",$239.00,2016
Norway,Dirk Ohm - Illusjonisten som forsvant,Drama,5.5,189,"$21,600,000.00",$273.00,2015
USA,Blood Car,Comedy,5.3,2384,"$25,000.00",$297.00,2007
USA,Trojan War,Comedy,5.7,5636,"$15,000,000.00",$309.00,1997
UK,100 Streets,Drama,5.7,3645,"$3,000,000.00",$309.00,2016
France,The Lost Door,Drama,4.4,173,"$1,200,000.00",$328.00,2008
UK,Turnout,Drama,5.4,271,"$500,000.00",$333.00,2011
Indonesia,Babi Buta yang Ingin Terbang,Drama,6.1,215,"$250,000.00",$344.00,2008
UK,The Reverend,Horror,4,375,"$1,000,000.00",$366.00,2011
Argentina,Tiempo muerto,Drama,6.1,172,"$400,000.00",$369.00,2016
UK,Saturday Night and Sunday Morning,Drama,7.6,7520,"$100,000.00",$370.00,1960
UK,Chitty Chitty Bang Bang,Adventure,6.9,40116,"$10,000,000.00",$398.00,1968
Canada,La vallée des larmes,Drama,7.4,566, $-   ,$404.00,2012
Spain,Asmodexia,Horror,4.6,1127,"$500,000.00",$418.00,2014
