country,0
USA,30908
India,6189
UK,5889
France,5202
Italy,3785
Japan,3275
Canada,2508
Germany,2039
Spain,1788
Hong Kong,1527
Turkey,1468
South Korea,1184
Australia,961
Russia,940
Sweden,855
Brazil,846
Mexico,830
Soviet Union,816
China,802
Denmark,756
Poland,731
Iran,701
Netherlands,663
Greece,640
Argentina,633
West Germany,602
Finland,574
Belgium,459
Hungary,455
Egypt,448
Norway,440
Romania,353
Philippines,325
Taiwan,308
Yugoslavia,306
Thailand,298
Czech Republic,296
Czechoslovakia,291
Ireland,282
Indonesia,267
Israel,264
Portugal,257
Switzerland,248
Austria,237
South Africa,203
Chile,180
New Zealand,176
Bulgaria,167
Serbia,156
Croatia,135
Colombia,133
Iceland,109
Bangladesh,106
Estonia,84
Pakistan,78
Malaysia,77
Ukraine,77
Lithuania,75
Federal Republic of Yugoslavia,70
Singapore,67
Slovenia,64
East Germany,60
Peru,58
Vietnam,57
Dominican Republic,44
Georgia,44
Venezuela,44
Latvia,43
Sri Lanka,38
Slovakia,36
Cuba,35
Lebanon,33
Republic of North Macedonia,32
Bosnia and Herzegovina,30
Kazakhstan,30
Luxembourg,30
Uruguay,28
Nigeria,28
Nepal,25
Puerto Rico,25
Tunisia,24
United Arab Emirates,23
Algeria,19
Albania,19
Bolivia,19
Azerbaijan,19
Costa Rica,18
Palestine,15
Senegal,14
Morocco,14
Armenia,14
Ecuador,13
Kosovo,12
Jamaica,12
Iraq,12
Kyrgyzstan,9
Guatemala,9
Malta,9
Mongolia,9
Panama,8
Cyprus,8
Afghanistan,7
Burkina Faso,7
Saudi Arabia,7
Bahamas,7
Jordan,6
Cambodia,6
Bhutan,6
Syria,5
Angola,5
Mali,5
North Korea,5
Montenegro,5
Uganda,4
Trinidad and Tobago,4
Tajikistan,4
Aruba,4
Paraguay,4
Myanmar,4
Kenya,4
Ghana,4
Ethiopia,4
Greenland,4
Moldova,3
Belarus,3
Liechtenstein,3
Yemen,3
Honduras,3
Mozambique,2
Haiti,2
Chad,2
Isle Of Man,2
Kuwait,2
Serbia and Montenegro,2
Côte d'Ivoire,2
Nicaragua,2
Andorra,1
Brunei,1
Bermuda,1
Zimbabwe,1
Gibraltar,1
Papua New Guinea,1
Uzbekistan,1
The Democratic Republic Of Congo,1
Tanzania,1
Suriname,1
Sudan,1
Somalia,1
Rwanda,1
Qatar,1
Oman,1
Guinea,1
North Vietnam,1
Netherlands Antilles,1
Mauritius,1
Mauritania,1
Zambia,1
Lesotho,1
Laos,1
Korea,1
Libya,1
