production_company,year,original_title
#Sinning Works,2017,1
#Sinning Works,2019,1
1 Bullet in the Gun Productions,2017,1
1 Media Productions,2020,1
10 West Studios,2010,1
10 West Studios,2011,1
10 West Studios,2015,1
10 West Studios,2018,1
"10,001",2010,1
100 Acres of Hell Productions,2019,1
1022m,2016,1
1031 Films,2013,1
1066 Pictures,2018,1
108 Productions,2011,1
10th Hole Productions,2010,1
10th Street Entertainment,2019,1
12 AM Pictures,2013,1
12 Dogs II,2012,1
12 Helpful Hands Productions,2017,2
12 Helpful Hands Productions,2018,1
13th Night Productions,2012,1
1428 Films,2011,1
1492 Pictures,2016,1
1492 Pictures,2018,1
1555 Filmworks,2010,1
1555 Filmworks,2014,1
17 Road,2014,1
180 Degrees,2018,1
1821 Pictures,2012,1
1821 Pictures,2015,1
1821 Pictures,2016,1
1887 Pictures,2010,1
1895 Films,2019,1
19 Artist Development,2020,1
1922 Films,2018,1
1926 Pictures,2020,1
1984 Private Defense Contractors,2010,1
1984 Private Defense Contractors,2014,1
1991 Broadway Theatre Group,2018,1
19th & Wilson,2010,1
1BR Movie,2019,1
1T Entertainment,2012,1
1inMM Productions,2011,1
1inMM Productions,2017,1
1inMM Productions,2018,1
2 Focus,2018,1
2 Man Production,2012,1
2 Red Rabbit Films,2010,1
2 Wonder Full To Be,2016,1
2 Wonder Full To Be,2018,1
2+2 Films,2015,1
2.0 Entertainment,2019,1
2.1 Films,2011,1
20/20 Visions Entertainment Group,2017,1
20/20 Visions Entertainment Group,2019,1
2020 Entertainment,2015,1
2020 Entertainment,2019,1
20th Century Fox Film Corporation,2010,1
20th Century Fox Film Corporation,2020,1
21 Laps Entertainment,2014,1
21 Laps Entertainment,2018,1
215APhillyated,2011,1
21st Century 3D,2011,1
21st Street Films,2016,1
221 Films,2010,1
248 Productions,2011,1
249 Productions,2013,1
26 Films,2010,1
26 Keys Productions,2019,1
26th Ave Films,2015,1
28 Entertainment,2012,1
285 Pictures,2018,1
2929 Entertainment,2017,1
2929 Productions,2012,1
2B Films,2015,1
2B Films,2016,2
2B Films,2018,1
2B Films,2019,1
2C Entertainment,2012,1
2DS Productions,2014,1
2DS Productions,2016,1
2nd Nature Films,2014,1
3 Arts Entertainment,2013,1
3 Arts Entertainment,2014,1
3 Arts Entertainment,2019,1
3 Roses Entertainment,2012,1
3 in the Box,2015,1
"3, 4 Women Productions",2011,1
30 Bones Cinema,2012,1
30 Bones Cinema,2015,1
30 Something Productions,2010,1
30 Something Productions,2013,1
308 Ent,2017,1
308 Ent,2020,1
30WEST,2020,1
33 Pictures,2015,1
33 Pictures,2016,1
3311 Productions,2013,2
3311 Productions,2016,1
3311 Productions,2017,1
3311 Productions,2019,1
333 Films,2019,1
34th Street Films,2013,1
34th Street Films,2015,1
360 Sound and Vision Productions,2012,1
36films,2015,1
37 Productions,2014,1
377 Films,2016,1
377 Films,2019,1
377 Films,2020,1
3:16 Productions,2013,1
3:41am,2014,1
3GI Industries,2018,1
3K Pictures,2012,1
3rd Fathom Entertainment,2016,1
3rd Films,2016,1
3rd Partner Productions,2015,1
3½ Egos Productions,2013,1
4 Features Film Co.,2013,1
4 Lizard Productions,2012,1
4 Mile Productions,2018,1
40 Acres & A Mule Filmworks,2012,1
40 Acres & A Mule Filmworks,2014,1
40 Acres & A Mule Filmworks,2015,2
40 Acres & A Mule Filmworks,2018,1
40 Acres & A Mule Filmworks,2019,1
40 Acres & A Mule Filmworks,2020,1
40/7 Studios,2015,1
40/West,2011,1
40Kilo Films,2018,1
42 Productions,2015,1
42ND street films,2016,1
454 Productions,2020,1
4BM Productions,2015,1
4G Vision,2020,1
4Go West Productions,2011,1
4PIX,2013,1
4Reel Films,2016,1
5-Second Films,2015,1
50 Degrees Entertainment,2018,1
50 Degrees Entertainment,2019,1
501 Pictures,2018,1
51 Entertainment,2017,1
51 Millimeter,2017,1
51 Minds Entertainment,2019,1
5100 Films,2018,1
5150 Action,2019,2
5150 Action,2020,1
553AM Creative Group,2012,1
5th Street Films,2013,1
5x5 Productions,2020,1
6 Foot Films,2013,1
6 Foot Films,2015,1
6 Foot Films,2017,1
600 West Productions,2013,1
611 Films,2011,1
6140 Productions,2010,1
625 Productions,2016,1
6A Films,2013,1
7 Arts,2019,1
7 Ponies Productions,2012,1
77 Entertainment,2013,1
77 Films,2015,1
7A Productions,2011,1
7Films7,2010,1
7Heaven Productions,2015,1
7Heaven Productions,2019,1
8 Ball Stunts of Hollywood,2012,1
818 Media Productions,2019,1
8180 Films,2014,1
8383 Productions,2012,1
870 Films,2012,1
870 Films,2014,1
870 Films,2019,1
8750 Films,2016,1
8th Day Pictures,2013,1
8th House Entertainment,2018,1
905 Productions,2016,1
93 Films,2013,1
95Forty Productions,2015,1
@theocean Entertainment,2018,1
A & D Studios,2016,1
A Band Apart,2011,1
A Bigger Boat,2010,1
A Bigger Boat,2019,1
A Bunch of Filmmakers,2014,1
A Certain Film Productions,2011,1
A Common Thread,2011,1
A Common Thread,2012,1
A Day in the Life Films,2016,1
A Day in the Life Films,2019,1
A Few Good Samaritans LLC,2011,1
A Hot Dog,2012,1
A I R MEDIA,2015,1
A Mates Entertainment Release,2015,1
A Palm Springs Joint,2012,1
A Picture Show Film Company,2015,1
A Shadow in the Dark Productions,2012,1
A Shadow in the Dark Productions,2019,1
A Stern Talking To,2017,1
A Stern Talking To,2018,1
A Stream In The Desert,2015,1
A Stream In The Desert,2016,1
A Strike to Burn Productions,2013,1
A Winter Rose,2014,1
A&G,2013,1
A+E Studios,2015,1
A. David McKay Films,2012,1
A.J. Productions,2015,1
A24,2016,2
A24,2017,1
A24,2018,2
A24,2019,3
A7SLE Films,2016,1
AAB Film,2019,1
AC Transformative Media,2017,1
ACE Pictures Entertainment,2019,2
ACE Productions,2016,1
ACM Films,2018,3
ACM Films,2020,1
ADF Productions,2019,1
ADF Studios,2012,1
ADIUVO Productions,2015,1
ADME Studios,2016,1
AEC,2019,1
AG Studios,2018,1
AGBO,2019,1
AGGK Films,2014,1
AGS Productions,2016,1
AJ Productions,2010,1
AJI Productions,2010,1
AJK Films,2013,1
AK Worldwide,2020,1
AKW Worldwide,2016,1
ALLaBorde Films,2018,1
AMBI Group,2017,1
AMBI Group,2018,1
AMBI Group,2019,1
AMIB Productions,2014,1
AMP Creative,2017,1
AMP International,2016,1
AMP International,2019,1
ANA Media,2015,1
ANOC Productions,2011,1
ANOC Productions,2014,1
ANOC Productions,2017,1
APB Production,2019,1
APS Films,2018,1
AR Films,2013,1
ARC Entertainment (II),2013,1
AREA51 Media Group,2011,1
ARO Entertainment,2012,1
ASIG Productions,2014,1
ATG Productions,2012,1
ATO Pictures,2011,2
AV1 Productions,2014,1
AXI Pictures,2014,1
AZ Film Studios,2016,2
AZ Film Studios,2017,1
AZ Film Studios,2018,1
AZ Film Studios,2020,1
AZ Works,2014,1
Aardwolf Entertainment,2013,1
Aaronde Entertainment,2017,1
Abbolita Productions,2013,1
Abbolita Productions,2014,1
Abbolita Productions,2016,2
Aberration Films,2013,1
Abovo Films,2016,1
Abruzzo Productions,2012,1
Absentia Pictures,2019,1
Absinthe Productions,2015,1
Abso Lutely,2019,1
Abstract Forces,2015,1
Abundant Productions,2012,1
Abundant Productions,2017,1
Acacia Filmed Entertainment,2016,1
Acacia Filmed Entertainment,2017,1
Accelerated Matter,2015,1
Accelerated Matter,2017,1
Access Entertainment,2018,1
Accio Cine,2012,1
Accord Productions,2014,1
Ace Entertainment,2019,1
Ace Entertainment,2020,1
Acevedo Smith Productions,2019,1
Acid Bath Productions,2012,1
Acid Bath Productions,2013,1
Acquire Talent Agency,2019,1
Acrolight Pictures,2010,1
Acrolight Pictures,2016,1
Across The Floor Productions,2014,1
Across Town Productions,2013,1
Act 13,2019,1
Action Logistics,2017,1
Actionhouse Pictures,2016,1
Actionhouse Pictures,2019,2
Actium Pictures,2016,1
Active Entertainment,2011,2
Active Entertainment,2013,1
Active Entertainment,2016,1
Active Entertainment,2018,1
Active Fox Productions,2011,1
Active Fox Productions,2013,1
Ad Hominem Enterprises,2011,1
Ad Hominem Enterprises,2017,1
AdScott Pictures,2012,1
Ada Films,2011,1
Adamant Images,2017,1
Adaptive Studios,2017,1
Adastra Films,2017,1
Addictive Pictures,2018,2
Adishankarbrand,2017,1
Adjusted Perspective,2018,1
Adonais Productions,2020,1
Adrenaline Entertainment,2018,1
Advantage Entertainment,2019,1
Adversary Films,2013,2
Aegean Ent.,2019,1
Aeroplano,2013,1
Affect Entertainment,2019,1
Affidavit Productions,2013,1
Affirm Films,2014,3
Affirm Films,2017,2
Affirm Films,2018,1
Affirm Films,2019,1
Afflicted Picturehouse,2011,1
Afflicted Pictures,2015,1
After Dark Films,2011,4
After Dark Films,2012,4
After Dark Films,2013,2
After Dark Films,2014,1
After Dark Films,2015,1
After Eden Pictures,2014,1
AfterBurner Entertainment,2018,1
AfterLight Pictures,2013,1
Aftershock Studios,2010,1
AgX,2014,1
AgX,2015,1
AgX,2018,1
AgX,2019,1
Aggregate Films,2013,2
Aggregate Films,2015,1
Agility Studios,2010,1
Agility Studios,2011,1
Agora Entertainment,2010,1
Aha Productions,2020,1
Aimes Media Production,2015,1
Air Bud Entertainment,2015,1
Air Bud Entertainment,2018,1
Akil Production Company,2012,1
Al Bravo Films,2014,1
Alarum Pictures,2012,1
Alberio Films,2014,1
Alchemical Brothers,2016,1
Alcon Entertainment,2010,2
Alcon Entertainment,2011,1
Alcon Entertainment,2012,2
Alcon Entertainment,2013,2
Alcon Entertainment,2014,1
Alcon Entertainment,2017,1
Alcon Entertainment,2018,1
Alcove Productions/Parkwood East Film Co.,2011,1
Aldamisa Entertainment,2014,2
Aldamisa Entertainment,2017,1
Aldamisa Entertainment,2018,2
Alderman Company,2018,1
Aledo Film Group,2015,1
Aletheia Films,2019,1
Alex Israel,2017,1
Alexander Designs,2015,1
Alexander Groupe,2015,1
AliBella Pictures,2015,1
Alianza Canada Entertainment,2014,1
Alien Chadow Films,2017,1
Alien Propaganda Films,2010,1
Alienworx Productions,2020,1
Align Entertainment,2019,1
Aliquot Films,2010,1
All Cash Productions,2012,1
All Def Digital,2016,1
All Entertainment,2012,1
All For George Productions,2011,1
All For George Productions,2012,1
All For George Productions,2013,1
All Gods Creatures,2011,1
All Mine Productions,2013,1
All You Can Dream,2012,1
All in Films,2012,1
All the Others,2015,1
Allagash,2020,1
Allegheny Image Factory,2019,2
Allegiance Theater,2017,1
Allegra Pictures,2015,1
Alliance Cinema,2010,2
Alliance Films,2013,1
Alliecine,2016,1
Alliecine,2018,1
Allison Shearmur Productions,2016,1
Allison Shearmur Productions,2020,1
Alloy Entertainment,2017,1
Alloy Entertainment,2018,1
Alloy Entertainment,2019,1
Allred Films,2018,1
Allspark Pictures,2016,1
AllyCat Entertainment,2016,1
Almighty Dog Productions,2011,1
Almost Never Films Inc.,2018,1
Almost Never Films Inc.,2019,1
Aloe Entertainment,2018,1
Along The Tracks,2011,1
Along The Tracks,2013,1
Aloris Entertainment,2014,1
Aloupis Productions,2015,1
Alpha Dog Pictures TX,2016,1
Alpha Hollywood Studios,2017,2
Alpha Studios,2011,1
Alpha Wolf Productions,2018,1
Also Known As Pictures,2012,1
Also Known As Pictures,2013,1
Also Known As Pictures,2015,1
AltaVista Entertainment Group,2015,1
Altar Identity Studios,2014,1
AltarBoy Productions,2010,1
Alter Ego Industries,2010,1
Alterna Comics,2016,1
Alternate Ending Films,2017,1
Alternate Ending Studios,2012,1
Alternative Cinema,2014,1
Alvarez Company,2016,1
Always Write Productions,2018,1
Amarath Arc,2013,1
Amarok Productions,2012,1
Amasia Entertainment,2014,1
Amasia Entertainment,2015,1
Amasia Entertainment,2019,1
Amateur Detective Films,2017,1
