country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
Hungary,Bizalom,1980,Drama,7.6,607,1.0
USA,The Heiress,1949,Drama,8.1,13301,16.0
Argentina,Camino a La Paz,2015,Drama,7.0,625,17.0
UK,Zombie Undead,2010,Horror,2.3,436,17.0
China,Wo he ba ba,2003,Drama,6.8,157,20.0
Germany,Eagle Hunter's Son,2009,Drama,6.4,129,23.0
Germany,Inbred,2011,Comedy,5.2,4536,24.0
Hong Kong,Shao Lin jiang shi,2004,Action,4.2,328,25.0
USA,Zyzzyx Rd,2006,Crime,4.1,983,30.0
USA,Older Than America,2008,Drama,5.3,857,32.0
Taiwan,Hei an zhi guang,1999,Drama,7.2,217,37.0
UK,The Marker,2017,Crime,5.4,279,37.0
Sweden,ABBA: The Movie,1977,Comedy,6.5,2963,38.0
China,Wo ai ni,2002,Drama,6.8,208,39.0
Canada,Allure,2017,Drama,4.9,1399,39.0
India,Urvi,2017,Crime,7.0,210,42.0
Brazil,El bosque negro,2018,Horror,5.7,167,43.0
UK,Dangerous Game,2017,Action,4.5,528,50.0
UK,My Days of Mercy,2017,Drama,6.4,2754,51.0
UK,7 Lives,2011,Fantasy,3.5,416,51.0
USA,A Walk in the Spring Rain,1970,Drama,6.1,647,52.0
China,Kong que,2005,Drama,7.6,955,55.0
Japan,Yaku san-jû no uso,2004,Comedy,5.7,131,55.0
Japan,Ningen no shômei,1977,Crime,6.7,284,57.0
Finland,Små mirakel och stora,2006,Drama,5.8,185,57.0
USA,400 Days,2015,Mystery,4.4,10018,58.0
Canada,Capture Kill Release,2016,Drama,5.2,640,72.0
France,Dans ton sommeil,2010,Horror,5.6,1375,73.0
Mexico,Atroz (Atrocious),2015,Horror,5.3,435,74.0
India,Malaal,2019,Action,5.9,718,76.0
Spain,Història de la meva mort,2013,Drama,6.5,657,77.0
Spain,Chicas paranoicas,2015,Comedy,7.2,146,78.0
China,Yi ge mo sheng nu ren de lai xin,2004,Drama,6.8,663,78.0
